SL No.,TimeStamp,Duration,X,Y,Quadrant
1,1456,160,272,254,Q7
2,1735,120,264,240,Q7
3,2732,199,663,205,Q8
4,3330,180,361,662,Q4
5,3529,120,364,657,Q4
6,4028,479,397,736,Q4
7,4765,459,294,648,Q4
8,5244,199,259,660,Q4
9,5623,100,325,667,Q4
10,6021,219,347,652,Q4
11,6281,379,355,658,Q4
12,6839,179,322,650,Q4
13,7138,219,313,651,Q4
14,7377,139,319,661,Q4
15,7637,120,338,666,Q4
16,8055,179,319,656,Q4
17,8274,180,323,662,Q4
18,8613,239,333,647,Q4
19,8873,120,324,635,Q4
20,9012,100,327,659,Q4
21,9152,299,333,649,Q4
22,9511,219,324,654,Q4
23,10109,219,330,659,Q4
24,10348,100,333,657,Q4
25,11405,120,377,563,Q4
26,11863,140,345,609,Q4
27,12122,160,377,619,Q4
28,13099,120,441,641,Q4
29,14156,100,369,799,Q4
30,14854,179,877,391,Q8
31,15153,100,1121,804,Q3
32,15272,299,1111,809,Q3
33,15591,140,1148,798,Q6
34,15751,100,1142,803,Q3
35,15950,140,875,974,Q2
36,16469,199,881,968,Q2
37,16848,239,1129,823,Q3
38,17246,180,986,809,Q2
39,17545,319,918,795,Q5
40,17884,140,910,673,Q5
41,18044,239,923,696,Q5
42,18343,100,304,667,Q4
43,18562,100,280,715,Q4
44,18742,100,343,654,Q4
45,19001,120,367,683,Q4
46,19180,140,887,671,Q5
47,19539,179,846,727,Q5
48,19838,120,911,781,Q5
49,19978,140,887,790,Q5
50,20257,160,378,546,Q4
51,20536,120,371,552,Q4
52,20795,120,366,529,Q4
53,21034,180,373,550,Q4
54,21314,239,376,534,Q4
55,21692,120,364,544,Q4
56,21832,100,368,529,Q4
57,22570,160,297,706,Q4
58,22749,259,292,708,Q4
59,23088,419,309,661,Q4
60,23566,259,309,684,Q4
61,23846,279,305,687,Q4
62,24145,359,378,725,Q4
63,24922,319,401,746,Q4
64,26338,100,242,684,Q4
65,26457,140,236,667,Q4
66,26677,259,220,657,Q4
67,26956,439,256,656,Q4
68,27414,100,305,647,Q4
69,27773,219,277,638,Q4
70,28112,319,308,681,Q4
71,28471,538,312,679,Q4
72,29109,140,350,677,Q4
73,29269,239,355,683,Q4
74,29548,140,188,272,Q7
75,30405,120,48,196,Q7
76,30804,100,295,213,Q7
77,31023,120,232,209,Q7
78,31402,100,308,215,Q7
79,31522,120,248,200,Q7
80,32020,100,269,203,Q7
81,32319,160,389,747,Q4
82,32897,140,401,711,Q4
83,33137,239,286,601,Q4
84,33436,259,357,820,Q1
85,34034,100,962,780,Q5
86,34392,219,885,805,Q2
87,34731,239,862,680,Q5
88,35030,100,844,660,Q5
89,35150,279,839,660,Q5
90,36307,199,833,635,Q5
91,37284,120,963,651,Q5
92,37483,239,1060,649,Q5
93,37782,339,918,627,Q5
94,38779,199,897,563,Q5
95,39098,319,1027,511,Q5
96,39716,100,1061,534,Q5
97,39875,139,848,696,Q5
98,40095,160,798,688,Q5
99,40274,120,788,695,Q5
100,40434,558,765,693,Q5
101,41630,179,788,694,Q5
102,41889,120,815,654,Q5
103,42088,219,754,600,Q5
104,42487,120,689,659,Q5
105,43225,279,797,763,Q5
106,43863,100,783,663,Q5
107,44182,159,838,647,Q5
108,44461,179,852,970,Q2
109,45159,180,708,652,Q5
110,45757,199,374,743,Q4
111,45976,100,417,727,Q4
112,46196,140,356,797,Q4
113,47153,100,340,740,Q4
114,47272,359,361,792,Q4
115,47651,399,398,765,Q4
116,48070,199,411,724,Q4
117,48289,179,411,722,Q4
118,49346,120,349,730,Q4
119,49485,199,354,719,Q4
120,49844,120,373,643,Q4
121,50083,140,371,722,Q4
122,50343,518,371,765,Q4
123,50881,179,368,771,Q4
124,51100,419,366,766,Q4
125,51539,199,372,755,Q4
126,51778,239,424,702,Q4
127,52037,199,471,688,Q4
128,52556,100,492,774,Q4
129,52994,120,330,831,Q1
130,53393,100,296,699,Q4
131,53712,120,327,713,Q4
132,53971,100,199,795,Q4
133,54270,160,218,789,Q4
134,54649,140,269,603,Q4
135,54809,379,276,604,Q4
136,55367,140,282,607,Q4
137,56443,179,407,641,Q4
138,56942,239,301,706,Q4
139,57380,239,350,564,Q4
140,58657,120,355,630,Q4
141,59295,139,308,613,Q4
142,59753,100,868,658,Q5
143,60830,299,863,779,Q5
144,61189,179,927,758,Q5
145,61448,100,992,763,Q5
146,61926,379,787,740,Q5
147,62764,160,243,205,Q7
148,63063,259,61,202,Q7
149,63661,120,870,722,Q5
150,63980,120,788,749,Q5
151,64119,339,965,718,Q5
152,64618,718,756,828,Q2
153,65356,379,818,825,Q2
154,65754,279,747,745,Q5
155,66053,179,782,721,Q5
156,66512,120,284,228,Q7
157,67110,279,730,693,Q5
158,67449,140,714,740,Q5
159,67608,179,713,721,Q5
160,68027,219,794,711,Q5
161,68266,339,822,733,Q5
162,68665,179,813,976,Q2
163,68864,179,821,975,Q2
164,69084,179,767,764,Q5
165,69283,399,748,715,Q5
166,69702,100,756,708,Q5
167,70260,180,843,611,Q5
168,70599,239,326,612,Q4
169,70978,159,372,608,Q4
170,71157,100,318,598,Q4
171,72154,379,313,616,Q4
172,72573,120,369,638,Q4
173,73251,139,877,670,Q5
174,73410,140,875,732,Q5
175,73570,160,878,733,Q5
176,73749,180,884,770,Q5
177,73949,339,922,774,Q5
178,74447,199,846,816,Q2
179,74686,180,763,827,Q2
180,74886,538,797,823,Q2
181,75544,140,802,828,Q2
182,75703,120,802,819,Q2
183,75843,180,710,735,Q5
184,76102,139,739,720,Q5
185,76261,100,743,730,Q5
186,76560,359,751,729,Q5
187,77338,479,768,813,Q2
188,77896,558,742,807,Q2
189,78474,179,756,765,Q5
190,78674,179,781,724,Q5
191,79172,259,340,606,Q4
192,79451,259,301,601,Q4
193,79750,100,366,615,Q4
194,80468,140,721,755,Q5
195,81146,100,742,759,Q5
196,81425,100,780,763,Q5
197,81545,459,762,765,Q5
198,82263,160,271,211,Q7
199,82582,219,257,223,Q7
200,83439,160,474,205,Q7
201,83857,160,232,189,Q7
202,85074,120,605,211,Q8
203,85213,100,623,223,Q8
204,85413,100,621,206,Q8
205,85831,100,505,252,Q7
206,86011,299,322,599,Q4
207,86330,160,344,610,Q4
208,87107,160,645,220,Q8
209,87327,259,449,234,Q7
210,88503,100,683,146,Q8
211,89221,100,399,701,Q4
212,89440,140,442,642,Q4
213,89918,160,427,614,Q4
214,90098,259,439,616,Q4
215,90377,119,443,614,Q4
216,90616,120,433,626,Q4
217,90816,219,349,611,Q4
218,91155,199,449,609,Q4
219,91414,120,454,610,Q4
220,91653,120,364,618,Q4
221,91813,179,396,612,Q4
222,92072,179,349,628,Q4
223,92271,100,344,612,Q4
224,92550,120,779,786,Q5
225,92889,140,723,771,Q5
226,93049,100,720,771,Q5
227,93188,139,777,769,Q5
