SL No.,TimeStamp,Duration,X,Y,Quadrant
1,102,140,749,305,Q8
2,421,140,684,432,Q5
3,1219,120,688,279,Q8
4,1498,160,546,216,Q8
5,1678,179,515,195,Q7
6,1917,259,301,212,Q7
7,2236,140,138,209,Q7
8,2535,140,96,210,Q7
9,2734,379,302,207,Q7
10,3372,179,133,564,Q4
11,3572,359,87,556,Q4
12,3950,299,115,581,Q4
13,4329,319,177,577,Q4
14,4668,399,99,581,Q4
15,5087,359,138,574,Q4
16,5466,239,184,569,Q4
17,5844,100,253,568,Q4
18,6044,159,320,565,Q4
19,6502,139,736,556,Q5
20,6861,100,778,568,Q5
21,7320,180,264,227,Q7
22,8057,180,144,508,Q4
23,8277,120,76,500,Q4
24,8536,379,73,355,Q7
25,8935,459,53,347,Q7
26,9633,159,88,228,Q7
27,9912,219,287,207,Q7
28,10948,678,51,577,Q4
29,11646,100,48,586,Q4
30,11766,738,46,580,Q4
31,12663,219,115,584,Q4
32,12902,179,76,580,Q4
33,13122,100,83,591,Q4
34,13341,140,63,529,Q4
35,13500,100,68,322,Q7
36,13620,279,58,328,Q7
37,13939,140,113,151,Q7
38,14099,100,88,155,Q7
39,14218,279,99,201,Q7
40,14597,100,99,208,Q7
41,14936,199,128,602,Q4
42,15155,120,103,589,Q4
43,15355,718,59,581,Q4
44,16092,140,107,579,Q4
45,16292,279,113,235,Q7
46,16591,179,98,244,Q7
47,16890,140,272,220,Q7
48,17049,638,318,204,Q7
49,17707,180,278,224,Q7
50,17927,140,106,227,Q7
51,18106,160,111,229,Q7
52,18305,319,324,212,Q7
53,18684,120,603,371,Q8
54,18884,199,693,540,Q5
55,19103,139,691,551,Q5
56,19422,139,688,580,Q5
57,19581,120,663,561,Q5
58,19721,339,668,563,Q5
59,20219,120,665,559,Q5
60,20558,100,715,557,Q5
61,20917,160,770,550,Q5
62,21256,120,717,575,Q5
63,21396,160,775,584,Q5
64,21655,199,699,576,Q5
65,21874,259,679,586,Q5
66,22971,100,732,572,Q5
67,23250,180,756,593,Q5
68,23848,120,752,610,Q5
69,24107,219,759,637,Q5
70,24606,120,705,641,Q5
71,24745,279,700,620,Q5
72,25104,239,727,633,Q5
73,25742,120,112,622,Q4
74,25882,199,110,600,Q4
75,26161,160,72,593,Q4
76,26400,120,68,600,Q4
77,26560,498,67,594,Q4
78,27078,399,114,595,Q4
79,27536,179,133,605,Q4
80,27736,199,149,649,Q4
81,27975,179,148,647,Q4
82,28234,140,766,639,Q5
83,28453,180,115,573,Q4
84,28673,100,113,581,Q4
85,29072,199,766,656,Q5
86,29630,219,708,634,Q5
87,30228,199,762,605,Q5
88,30567,140,151,613,Q4
89,30926,100,216,186,Q7
90,31125,179,284,217,Q7
91,31325,239,523,207,Q7
92,31584,758,531,216,Q7
93,32421,1794,641,220,Q8
94,34255,239,513,230,Q7
95,34515,479,562,252,Q8
96,35013,877,510,223,Q7
97,35930,179,290,232,Q7
98,36209,140,112,250,Q7
99,36608,199,285,235,Q7
100,36847,279,494,222,Q7
101,37286,140,117,257,Q7
102,37505,120,269,235,Q7
103,37824,120,280,262,Q7
104,38103,618,68,581,Q4
105,38841,179,101,622,Q4
106,39140,299,147,638,Q4
107,39539,140,709,639,Q5
108,40057,159,740,659,Q5
109,40595,179,744,604,Q5
110,41174,140,730,589,Q5
111,41333,219,724,589,Q5
112,42071,239,706,584,Q5
113,42529,279,108,608,Q4
114,42829,199,120,608,Q4
115,43148,160,155,631,Q4
116,43526,199,127,640,Q4
117,43825,179,131,153,Q7
118,44025,718,114,229,Q7
119,45341,100,115,602,Q4
120,45460,658,80,572,Q4
121,46337,718,68,568,Q4
122,47175,339,90,621,Q4
123,47574,100,152,630,Q4
124,47952,160,185,609,Q4
125,48172,239,166,622,Q4
126,48431,419,135,633,Q4
127,48870,100,128,653,Q4
128,48989,279,220,649,Q4
129,49428,120,132,651,Q4
130,49567,140,91,630,Q4
131,49727,319,85,617,Q4
132,50066,180,116,609,Q4
133,50265,160,82,608,Q4
134,50445,259,77,603,Q4
135,50744,479,73,605,Q4
136,51262,339,127,605,Q4
137,51621,239,144,618,Q4
138,51880,259,137,631,Q4
139,52159,199,102,628,Q4
140,52379,179,103,626,Q4
141,52578,518,99,607,Q4
142,53276,219,118,610,Q4
143,53535,259,141,628,Q4
144,53934,219,108,632,Q4
145,54651,239,132,624,Q4
146,55030,459,83,639,Q4
147,55509,199,145,639,Q4
148,55828,199,138,651,Q4
149,56047,339,139,669,Q4
150,56406,538,138,665,Q4
151,56964,140,144,641,Q4
152,57124,219,112,645,Q4
153,57522,100,92,677,Q4
154,57642,199,95,676,Q4
155,58001,120,92,676,Q4
156,58141,139,102,684,Q4
157,58300,100,137,683,Q4
158,58420,119,135,692,Q4
159,58639,100,156,710,Q4
160,58818,259,161,726,Q4
161,59297,140,163,760,Q4
162,59556,179,162,701,Q4
163,60054,180,157,709,Q4
164,60533,359,133,716,Q4
165,60912,459,103,682,Q4
166,61390,180,108,683,Q4
167,61610,359,98,638,Q4
168,61988,199,94,644,Q4
169,62327,100,96,649,Q4
170,62547,119,92,649,Q4
171,62806,160,125,688,Q4
172,63085,199,106,649,Q4
173,63304,259,102,652,Q4
174,63583,199,131,664,Q4
175,63823,160,130,655,Q4
176,64082,140,170,669,Q4
177,64341,259,243,661,Q4
178,64879,140,118,727,Q4
179,65039,160,101,687,Q4
180,65398,299,79,694,Q4
181,65797,180,210,701,Q4
182,66076,299,135,708,Q4
183,66395,120,130,703,Q4
184,66574,120,134,703,Q4
185,66714,179,85,703,Q4
186,66913,160,82,710,Q4
187,67092,180,96,718,Q4
188,67491,100,170,727,Q4
189,67730,239,165,753,Q4
190,68129,179,128,724,Q4
191,68428,160,110,721,Q4
192,68787,219,168,743,Q4
193,69086,219,191,759,Q4
194,69525,259,138,764,Q4
195,69884,120,191,748,Q4
196,70083,179,205,741,Q4
197,70382,160,193,759,Q4
198,70861,279,137,748,Q4
199,71778,100,225,754,Q4
200,71997,180,299,762,Q4
201,72216,179,141,772,Q4
202,72515,319,146,769,Q4
203,72894,100,179,780,Q4
204,73094,239,207,796,Q4
205,73632,140,145,746,Q4
206,73911,160,137,755,Q4
207,74090,179,139,751,Q4
208,74370,259,142,749,Q4
209,74649,538,141,764,Q4
210,75247,100,142,769,Q4
211,75367,179,139,782,Q4
212,76064,179,194,798,Q4
213,77201,140,128,794,Q4
214,77480,239,120,812,Q1
215,77938,100,171,811,Q1
216,78457,179,164,836,Q1
217,78656,120,150,844,Q1
218,78836,100,139,823,Q1
219,79095,120,210,842,Q1
220,79274,239,283,824,Q1
221,79573,239,328,826,Q1
222,80152,120,281,839,Q1
223,80630,219,124,822,Q1
224,80989,319,135,742,Q4
225,81368,140,122,738,Q4
226,81527,120,103,716,Q4
227,81747,100,108,721,Q4
228,81966,140,114,722,Q4
229,82225,439,134,751,Q4
230,83022,239,124,731,Q4
231,83282,339,92,709,Q4
232,83740,259,136,704,Q4
233,84019,179,159,700,Q4
234,84358,120,84,681,Q4
235,84558,140,83,687,Q4
236,84737,179,77,688,Q4
237,84937,120,122,685,Q4
238,85076,139,112,692,Q4
239,85236,100,111,691,Q4
240,85355,140,112,702,Q4
241,85614,179,93,678,Q4
242,85834,379,87,677,Q4
243,86272,180,92,648,Q4
244,86532,120,126,620,Q4
245,87110,160,127,701,Q4
246,87688,379,95,675,Q4
247,88246,180,120,684,Q4
248,88525,140,152,688,Q4
249,88685,479,160,729,Q4
250,89622,140,175,681,Q4
251,89781,199,118,686,Q4
252,90080,299,99,684,Q4
253,90419,100,98,679,Q4
254,90539,160,102,685,Q4
255,90838,259,131,651,Q4
256,91177,120,95,666,Q4
257,91516,139,210,656,Q4
258,91695,100,218,652,Q4
259,91935,120,145,685,Q4
260,92074,100,134,671,Q4
261,92433,140,116,689,Q4
262,92592,100,113,691,Q4
263,92812,160,106,691,Q4
264,92991,120,110,692,Q4
265,93131,179,114,698,Q4
266,93490,299,107,697,Q4
267,93928,219,79,258,Q7
268,94168,180,119,259,Q7
269,95005,100,138,675,Q4
270,95125,140,136,686,Q4
271,95284,100,149,687,Q4
272,95683,140,185,710,Q4
273,95842,219,114,702,Q4
274,96121,140,105,686,Q4
275,96321,100,113,688,Q4
276,96580,120,116,663,Q4
277,96720,279,104,659,Q4
278,97039,140,84,649,Q4
279,97338,120,65,277,Q7
280,97477,199,109,266,Q7
281,98095,319,139,663,Q4
282,98434,179,108,671,Q4
283,98634,379,97,663,Q4
284,99032,199,130,657,Q4
285,99331,199,86,664,Q4
286,99750,159,108,665,Q4
287,99930,279,100,654,Q4
288,100229,100,126,670,Q4
289,100348,160,130,659,Q4
290,100548,379,115,660,Q4
291,100966,259,242,650,Q4
292,101265,199,156,677,Q4
293,101624,219,179,689,Q4
294,101923,120,168,705,Q4
295,102162,239,185,702,Q4
296,102661,159,127,683,Q4
297,102840,299,131,697,Q4
298,103159,279,128,695,Q4
299,103618,100,210,682,Q4
300,103738,239,187,697,Q4
301,104136,100,191,691,Q4
302,104455,159,266,701,Q4
303,106030,100,176,731,Q4
304,106329,159,173,725,Q4
305,108004,159,238,750,Q4
306,110496,100,218,783,Q4
307,110716,100,223,778,Q4
308,110875,140,261,778,Q4
309,111872,120,303,785,Q4
310,112012,140,304,789,Q4
311,112211,140,292,803,Q1
312,112371,199,212,786,Q4
313,113268,100,261,835,Q1
314,114424,100,379,836,Q1
315,116677,120,212,772,Q4
316,116916,179,219,767,Q4
317,117475,140,212,775,Q4
318,117714,100,218,776,Q4
319,118990,120,158,725,Q4
320,119189,160,158,725,Q4
321,119488,120,143,697,Q4
322,119688,179,145,711,Q4
323,119887,100,155,709,Q4
324,120585,120,112,677,Q4
325,120724,179,109,675,Q4
326,121362,120,185,687,Q4
327,121582,160,146,692,Q4
328,121781,100,130,700,Q4
329,121921,179,118,685,Q4
330,122200,159,153,665,Q4
331,122459,100,182,665,Q4
332,123177,179,123,699,Q4
333,123476,120,121,696,Q4
334,123755,179,122,693,Q4
335,124114,120,168,690,Q4
336,125370,100,158,714,Q4
337,125669,279,161,735,Q4
338,126108,219,186,756,Q4
339,126407,160,171,745,Q4
340,126805,219,140,725,Q4
341,127045,140,186,744,Q4
342,127344,219,105,692,Q4
343,127822,259,80,248,Q7
344,128241,319,101,224,Q7
345,128600,279,289,225,Q7
346,128899,100,308,161,Q7
347,129038,199,313,191,Q7
348,129297,120,188,518,Q4
349,129517,100,51,428,Q4
